decision_id,timestamp_et,nfl_week,game_date,game,player,team,opponent,prop_type,market,side,sportsbook,line,odds,best_market_line,consensus_line,opening_line,line_at_first_detection,line_at_recommendation,line_at_user_bet,closing_line,opening_odds,bet_odds,closing_odds,our_mean_projection,our_median_projection,estimated_over_probability,estimated_under_probability,fair_odds,market_implied_probability,no_vig_probability,estimated_edge_pct,edge_bucket,decision_status,decision_reason,confidence,play_to_line,max_acceptable_odds,steam_state,entry_timing,signal_tags,correlation_tags,thesis_id,stake_cash,stake_units,weekly_exposure_cash,game_exposure_cash,player_exposure_cash,thesis_exposure_cash,actual_user_action,actual_result,outcome,line_clv,price_clv,combined_clv,brier_score,process_grade,outcome_grade,result_notes,reviewed_at
2026W1-MAYER-REC-20260911-172251,2026-09-11 17:22:51,1,2026-09-13,MIA@LV,Michael Mayer,LV,MIA,RECEPTIONS,Receptions Alt,AT_LEAST,DraftKings,5+,-110,5+ -110 (verified user ticket),4.5,,4.5,4.5,5+,,,-110,,,,55.0,45.0,-122.2,52.38,,2.62,2-4%,BET,Bowers ruled out; 5+ is equivalent to Over 4.5 threshold. Existing $25 ticket remains valid; no new adverse role news.,B+,4.5,-115,STILL_PLAYABLE,MIDWEEK,INJURY|ROLE_CHANGE|ROUTE_SHARE|TARGET_SHARE,,MAYER_BOWERS_OUT_ROLE,25,,75,25,25,25,BET_PLACED,,,,,,,,,Backfilled after Advanced Market Learning module activation; unknown fields intentionally left blank.,
2026W1-HAMPTON-RUSH-20260911-172456,2026-09-11 17:24:56,1,2026-09-13,ARI@LAC,Omarion Hampton,LAC,ARI,RUSH_YARDS,Rushing Yards Alt,AT_LEAST,DraftKings,69+,-114,67.5 -113 DK public tracker (2026-09-12 02:04 capture),65.5-67.5 observed Friday/Saturday,60.5,67.5,67.5,69+,,,-114,,72.0,,57.0,43.0,-132.6,53.27,,3.73,2-4%,BET,"Existing $25 ticket. Current public DK main line is 67.5 -113, modestly better than the ticket threshold, but user reports no cash-out available. Hold; do not add correlated exposure solely to improve the number.",A-,69.5,-120,REDUCED_EDGE,MIDWEEK,RUSH_SHARE|GAME_SCRIPT|MATCHUP|PROJECTION_DISAGREEMENT|MARKET_MOVE,SAME_THESIS,HAMPTON_WORKLOAD_OVER,25,,75,25,25,25,BET_PLACED,,,,,,,,,Backfilled after Advanced Market Learning module activation. Saturday tracker confirms market below user threshold; no action possible without cash-out.,
2026W1-IRVING-CARRIES-20260911-172720,2026-09-11 17:27:20,1,2026-09-13,TB@CIN,Bucky Irving,TB,CIN,RUSH_ATTEMPTS,Rushing Attempts,OVER,DraftKings,14.5,-107,14.5 -107 user ticket; public DK tracker -109 at 2026-09-12 02:04,14.5,,14.5,14.5,14.5,,,-107,,,,,,,51.69,48.75,,,BET,"Sean Tucker remains doubtful and current public DK price moved slightly worse to -109, so the user's -107 entry has favorable price movement. No new role/injury information invalidates the thesis.",B,14.5,-115,STILL_PLAYABLE,MIDWEEK,INJURY|ROLE_CHANGE|RUSH_SHARE|GAME_SCRIPT|MARKET_MOVE,,IRVING_TUCKER_OUT_VOLUME,25,,75,25,25,25,BET_PLACED,,,,,,,,,Backfilled after Advanced Market Learning module activation; fair probability remains unfilled because the original bet was role/news-driven and no defensible internal probability was recorded.,
2026W1-LOVELAND-RECYDS-20260912-0204,2026-09-12 02:04:00,1,2026-09-13,CHI@CAR,Colston Loveland,CHI,CAR,RECEIVING_YARDS,Receiving Yards,OVER,DraftKings public tracker,54.5,,52.5 FanDuel Friday afternoon (stale; not assumed current),54.5 current DK tracker,50.5,52.5,52.5,,,,,,57.0,,,,,,,,,PASS,"Current DK tracker has moved to 54.5, above the 52.5 maximum playable line. Odunze is questionable but plans to play; no verified inactive-driven target-vacuum upgrade exists. Do not chase.",B,52.5,-115,PASS_AFTER_MOVE,SATURDAY,MARKET_MOVE|INJURY|TARGET_SHARE|PROJECTION_DISAGREEMENT,,LOVELAND_ODUNZE_ROLE,,,,,,,NO_BET,,,,,,,,,"Disciplined price pass. Reopen only if line returns to 52.5 or better at acceptable juice, or Odunze is ruled out and fair probability is recalculated.",
2026W1-COOK-RECYDS-20260912-032128,2026-09-12 03:21:28,1,2026-09-13,BUF@HOU,James Cook,BUF,HOU,RECEIVING_YARDS,Receiving Yards,OVER,public market aggregator,21.5,-114,21.5 -114 publicly observed; no sportsbook-specific better line verified,21.5 current public aggregate,,14.5,14.5 conditional,,,,,,18.5,,,,,53.27,50.00,,,PASS,"The market repriced from the 14.5 first-detection candidate to 21.5 -114 on a current public market page, seven yards higher and six yards beyond the 15.5 play-to. Independent projections are now too dispersed to justify chasing: Stats Insider 23 receiving yards, FanDuel/numberFire 11.71, CBS 13.8; FantasyPros' bullish argument was explicitly at 14.5. Ty Johnson's unresolved status does not justify assuming the old edge survives at 21.5.",PASS,15.5,-120,PASS_AFTER_MOVE,SATURDAY,MARKET_MOVE|INJURY|ROLE_CHANGE|PROJECTION_DISAGREEMENT,,COOK_PASS_GAME_ROLE,,,,,,,NO_BET,,,,,,,,,Disciplined steam-chasing pass. Reopen only if a verified sportsbook line returns near 15.5 or better, or confirmed Ty Johnson/inactive-role news materially changes Cook's expected routes/targets.,
2026W1-OTTON-RECYDS-20260912-0453,2026-09-12 04:53:00,1,2026-09-13,TB@CIN,Cade Otton,TB,CIN,RECEIVING_YARDS,Receiving Yards,OVER,DraftKings public tracker,27.5,-112,27.5 -112 DK public tracker,27.5-31.5 market/projection context,29.5,27.5,27.5,,,,,,,31.5,29.5,57.5,42.5,-135.3,52.83,50.00,4.67,4-6%,BET,"Current public DK tracker shows O27.5 -112/U27.5 -112 after the line fell from roughly 29.5. FantasyPros projects 32.3 yards and a separate market-blended projection is 31.5. Sean Tucker and Jalen McMillan are doubtful while Emeka Egbuka is cleared. The price clears the minimum modeled edge only at the current number; verify live DK before placing and do not chase 28.5+ at standard juice.",B,27.5,-115,BET_NOW,SATURDAY,INJURY|TARGET_SHARE|MATCHUP|PROJECTION_DISAGREEMENT|MARKET_MOVE,NEGATIVE_CORRELATION,OTTON_PASS_VOLUME_OVER,12.5,0.5,75,25,0,0,RECOMMENDED_NOT_YET_PLACED,,,,,,,,,"New Saturday candidate. Recommended stake 0.5u; if the user's current $25 straight-prop sizing is treated as 1u, that equals $12.50. Existing Irving attempts exposure in the same game creates some game-script correlation, so size is reduced.",
2026W1-LOVELAND-RECYDS-20260912-0602,2026-09-12 06:02:00,1,2026-09-13,CHI@CAR,Colston Loveland,CHI,CAR,RECEIVING_YARDS,Receiving Yards,OVER,DraftKings via RosterAudit market index,52.5,,FanDuel 51.5 current line via RosterAudit; price unverified,52.5 multi-book central line,50.5,52.5,,,,,,,57.9,,,,,,,,,WATCH,"Material re-entry: the market has retreated from the 54.5 PASS_AFTER_MOVE state back to DraftKings 52.5, while FanDuel is indexed at 51.5. FantasyPros consensus is 57.9 yards and its Week 1 prop analysis specifically supported Higher 51.5. Official Bears report still lists Rome Odunze questionable after limited practices, so there is no confirmed target-vacuum upgrade. Exact current sportsbook juice is not publicly exposed by the live index; do not convert to BET until a live app confirms 52.5 or better at -115 or better.",B,52.5,-115,STILL_PLAYABLE,SATURDAY,MARKET_MOVE|INJURY|ROUTE_SHARE|TARGET_SHARE|PROJECTION_DISAGREEMENT|EXPERT_CONSENSUS,,LOVELAND_ODUNZE_ROLE,,,,,,,NO_ACTION_YET,,,,,,,,,"Reopened after disciplined price pass. Best visible line is FanDuel 51.5 but current juice is unverified; DraftKings line is 52.5. Alert user to check live app now rather than assume stale -114 price.",
2026W1-LOVELAND-RECYDS-20260912-0851,2026-09-12 08:51:00,1,2026-09-13,CHI@CAR,Colston Loveland,CHI,CAR,RECEIVING_YARDS,Receiving Yards,OVER,Action Network market aggregate,54,-114,51.5 FanDuel / 52.5 DK via 06:02 RosterAudit index; current juice unverified,54 Action Network current aggregate,50.5,52.5,52.5,,,,,,57.9,,,,,53.27,50.21,,,PASS,"Broader current market has moved back to 54 O-114/U-112, above the 52.5 maximum playable line. Earlier 51.5-52.5 indexed numbers lacked executable juice. Odunze remains questionable but expects to play; no confirmed target-vacuum upgrade. Do not chase the projection.",B,52.5,-115,PASS_AFTER_MOVE,SATURDAY,MARKET_MOVE|INJURY|ROUTE_SHARE|TARGET_SHARE|PROJECTION_DISAGREEMENT|EXPERT_CONSENSUS,,LOVELAND_ODUNZE_ROLE,,,,,,,NO_BET,,,,,,,,,Second price-state reversal preserved: actionable-range WATCH at 06:02 reverted to PASS after the broader market returned to 54. Reopen only on verified 52.5-or-lower price at -115 or better or material Odunze inactive news.,
2026W1-JEANTY-CARRIES-20260912-0851,2026-09-12 08:51:00,1,2026-09-13,MIA@LV,Ashton Jeanty,LV,MIA,RUSH_ATTEMPTS,Rushing Attempts,UNDER,Action Network market aggregate,14.5,101,Under 14.5 +101 / Over 14.5 -130 on current Action market aggregate,14.5,,15.5,,,,,,,,,,,,49.75,46.82,,,WATCH,"Derek Carty/THE BLITZ originally liked Under 15.5 -108 with a 12.6-attempt projection, but the market is now Under 14.5 +101. FantasyPros currently projects 14.6 attempts. Jeanty practiced fully all week with no game designation, while reliable Raiders reporting expects rookie Mike Washington Jr. to share some workload. The one-carry move plus projection disagreement makes the stale 15.5 thesis non-transferable; no robust fair probability is assigned yet.",C,15.5,-110,REDUCED_EDGE,SATURDAY,INJURY|ROLE_CHANGE|RUSH_SHARE|MARKET_MOVE|PROJECTION_DISAGREEMENT|EXPERT_CONSENSUS,,JEANTY_POST_ANKLE_WORKLOAD,,,,,,,NO_ACTION_YET,,,,,,,,,New Saturday WATCH only. Do not bet Under 14.5 solely because the prior Under 15.5 model was strong; re-evaluate if 15.5 returns or additional role/snap-limit evidence emerges.,
2026W1-GOEDERT-RECYDS-20260912-1018,2026-09-12 10:18:00,1,2026-09-13,WAS@PHI,Dallas Goedert,PHI,WAS,RECEIVING_YARDS,Receiving Yards,OVER,DraftKings public tracker,36.5,-114,36.5 -114 DK public tracker,36.5 current regulated-book tracker,34.5,36.5,36.5,,,,,,46.0,45.0,59.0,41.0,-143.9,53.27,50.42,5.73,4-6%,BET,"Current DraftKings public tracker shows 36.5 O-114/U-110 as of 9:03 AM, up two yards from the 34.5 opener. Independent projections remain materially above the line: FantasyPros 45.4, Covers 44.22 and numberFire/FanDuel Research 51.41. Goedert has no injury designation; current role data supports high route participation and roughly six expected targets. Conservative fair Over probability 59% clears the price, but the steam has reduced the original edge. Verify live DK before placement.",B+,37.5,-115,STILL_PLAYABLE,SATURDAY,ROUTE_SHARE|TARGET_SHARE|MATCHUP|PROJECTION_DISAGREEMENT|EXPERT_CONSENSUS|MARKET_MOVE,,GOEDERT_TE_VOLUME_OVER,12.5,0.5,75,0,0,0,RECOMMENDED_NOT_YET_PLACED,,,,,,,,,"New Saturday candidate. Recommended 0.5u because the market has already moved two yards from the opener; no same-game exposure currently recorded. Do not chase 38.5+ or juice worse than -115.",
