captured_at_et,nfl_week,game,player,market,sportsbook,side,line,odds,opposite_side_line,opposite_side_odds,implied_probability,no_vig_probability,source_url,notes
2026-09-11 17:22:51,1,MIA@LV,Michael Mayer,Receptions Alt,DraftKings,AT_LEAST,5+,-110,,,52.38,,,"Verified from user DraftKings ticket; exact displayed threshold preserved as 5+."
2026-09-11 17:24:56,1,ARI@LAC,Omarion Hampton,Rushing Yards Alt,DraftKings,AT_LEAST,69+,-114,,,53.27,,,"Verified from user DraftKings ticket; exact displayed threshold preserved as 69+."
2026-09-11 17:27:20,1,TB@CIN,Bucky Irving,Rushing Attempts,DraftKings,OVER,14.5,-107,14.5,-119,51.69,48.75,,"Verified from user DraftKings market/ticket. Opposite side price from same current market screenshot."
2026-09-11 21:07:44,1,ATL@PIT,Bijan Robinson,Rushing Yards,DraftKings public tracker,OVER,73.5,-114,73.5,-111,53.27,50.31,https://ballknowme.com/nfl/matchup/game/2026_01_ATL_PIT,"Public tracker retrieved during Friday-night watch; its DK movement field showed 73.5 while broader main-line market was as high as 76.5. Conditional only: verify the live DraftKings app before betting; do not treat this snapshot as guaranteed current after capture."
2026-09-12 02:04:00,1,ARI@LAC,Omarion Hampton,Rushing Yards,DraftKings public tracker,OVER,67.5,-113,67.5,-111,53.05,50.21,https://ballknowme.com/nfl/matchup/game/2026_01_ARI_LAC,"Saturday overnight public tracker snapshot. DK main line 67.5 with Over -113 / Under -111 and page reported data refreshed about one hour before capture. User's existing ticket remains 69+ -114; this snapshot does not overwrite ticket truth."
2026-09-12 02:04:00,1,TB@CIN,Bucky Irving,Rushing Attempts,DraftKings public tracker,OVER,14.5,-109,,,52.15,,https://ballknowme.com/nfl/matchup/game/2026_01_TB_CIN,"Saturday overnight public tracker snapshot. Best displayed Over price was DK -109 at 14.5; tracker paired the best Under from another sportsbook, so no opposite-side/no-vig value is recorded here. User's existing DK ticket at 14.5 -107 remains the authoritative bet record."
2026-09-12 03:21:28,1,BUF@HOU,James Cook,Receiving Yards,SportsGambler public market aggregate,OVER,21.5,-114,21.5,-114,53.27,50.00,https://www.sportsgambler.com/betting-tips/nfl/buffalo-bills-vs-houston-texans-prediction-odds-2026-09-13/,"Saturday overnight public-market capture. Page labels these as live market odds updated regularly but does not identify the underlying sportsbook, so this is movement evidence only, not sportsbook-specific executable truth. It shows Cook receiving yards 21.5 O/U -114, well beyond the prior 15.5 play-to."
2026-09-12 04:53:00,1,TB@CIN,Cade Otton,Receiving Yards,DraftKings public tracker,OVER,27.5,-112,27.5,-112,52.83,50.00,https://ballknowme.com/nfl/matchup/game/2026_01_TB_CIN,"Saturday early-morning public tracker snapshot accessed during Prop Watch. DK displayed 27.5 with Over -112 / Under -112 after the line fell from roughly 29.5. This is a publicly verifiable tracker snapshot, not a substitute for the user's live app; verify immediately before betting."
2026-09-12 06:02:00,1,CHI@CAR,Colston Loveland,Receiving Yards,DraftKings via RosterAudit market index,OVER,52.5,,,,,,https://rosteraudit.com/players/colston-loveland/,"Saturday morning multi-book market index shows DraftKings back at 52.5 after the prior 54.5 pass state. Exact current DK juice is not exposed on this source, so this is line-movement evidence only and not executable price truth."
2026-09-12 06:02:00,1,CHI@CAR,Colston Loveland,Receiving Yards,FanDuel via RosterAudit market index,OVER,51.5,,,,,,https://rosteraudit.com/players/colston-loveland/,"Saturday morning multi-book market index shows FanDuel 51.5, currently the best regulated-book line visible in the index. Exact current FanDuel juice is not exposed; verify live app price before any wager."
